schemaVersion,recordType,source,content,collectedAt
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/fchollet/ARC-AGI'}","{'entityName': 'fchollet', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327462
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/rasbt/reasoning-from-scratch'}","{'entityName': 'rasbt', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327469
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/andri27-ts/Reinforcement-Learning'}","{'entityName': 'andri27-ts', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327475
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/makcedward/nlpaug'}","{'entityName': 'makcedward', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327480
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/alirezadir/Production-Level-Deep-Learning'}","{'entityName': 'alirezadir', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327485
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/r0f1/datascience'}","{'entityName': 'r0f1', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327490
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/google-deepmind/dm_control'}","{'entityName': 'google-deepmind', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327495
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/gradio-app/fastrtc'}","{'entityName': 'gradio-app', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327502
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/okfn-brasil/serenata-de-amor'}","{'entityName': 'okfn-brasil', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327507
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/kyegomez/tree-of-thoughts'}","{'entityName': 'kyegomez', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327514
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/LLMBook-zh/LLMBook-zh.github.io'}","{'entityName': 'LLMBook-zh', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327519
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/OAID/Tengine'}","{'entityName': 'OAID', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327524
1.0,STARTUP,"{'name': 'GitHub', 'url': 'https://github.com/CaviraOSS/OpenMemory'}","{'entityName': 'CaviraOSS', 'data': {'employeeCount': None}}",2026-07-20T09:33:15.327530
