schemaVersion,recordType,source,content,collectedAt
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/diStyApps/seait'}","{'startupName': 'diStyApps', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855352
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/Guanghan/lighttrack'}","{'startupName': 'Guanghan', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855355
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/DoubangoTelecom/ultimateALPR-SDK'}","{'startupName': 'DoubangoTelecom', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855358
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/TimeSformer-pytorch'}","{'startupName': 'lucidrains', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855360
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/JiashuWu/Books'}","{'startupName': 'JiashuWu', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855363
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/x-clip'}","{'startupName': 'lucidrains', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855365
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/kyegomez/LongNet'}","{'startupName': 'kyegomez', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855368
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/Sophia-11/Awesome-CVPR-Paper'}","{'startupName': 'Sophia-11', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855370
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/vibertthio/awesome-machine-learning-art'}","{'startupName': 'vibertthio', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855373
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/AkshitIreddy/Interactive-LLM-Powered-NPCs'}","{'startupName': 'AkshitIreddy', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855376
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/aledipa/Free-GPT4-WEB-API'}","{'startupName': 'aledipa', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855378
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/Lex-au/Orpheus-FastAPI'}","{'startupName': 'Lex-au', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855381
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/amusi/AI-Job-Resume'}","{'startupName': 'amusi', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855383
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/nicolas-hbt/pygraft'}","{'startupName': 'nicolas-hbt', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855386
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/10up/classifai'}","{'startupName': '10up', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855388
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/HunterMcGushion/hyperparameter_hunter'}","{'startupName': 'HunterMcGushion', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855391
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/aapatel09/handson-unsupervised-learning'}","{'startupName': 'aapatel09', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855393
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/voicebox-pytorch'}","{'startupName': 'lucidrains', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855396
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/HasnainRaz/Fast-SRGAN'}","{'startupName': 'HasnainRaz', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855398
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/fabsig/GPBoost'}","{'startupName': 'fabsig', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855401
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/MarioSieg/magnetron'}","{'startupName': 'MarioSieg', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855404
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/SkyWorkAIGC/SkyChat-Chinese-Chatbot-GPT3'}","{'startupName': 'SkyWorkAIGC', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855406
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/IBM/FfDL'}","{'startupName': 'IBM', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855409
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/taco-group/SparkVSR'}","{'startupName': 'taco-group', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855411
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/hazratali/awesome-ai-summerschool'}","{'startupName': 'hazratali', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855414
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/jegly/Box'}","{'startupName': 'jegly', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855416
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/autowarefoundation/vision_pilot'}","{'startupName': 'autowarefoundation', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855419
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/existence-master/Sentient'}","{'startupName': 'existence-master', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855422
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/mbadry1/Trending-Deep-Learning'}","{'startupName': 'mbadry1', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855424
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/gretelai/gretel-synthetics'}","{'startupName': 'gretelai', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855427
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/CelaDaniel/free-ai-resources-x'}","{'startupName': 'CelaDaniel', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855430
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/SamBelkacem/AI-ML-cheatsheets'}","{'startupName': 'SamBelkacem', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855432
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/danielsabinasz/TensorSlow'}","{'startupName': 'danielsabinasz', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855435
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/lucidrains/bottleneck-transformer-pytorch'}","{'startupName': 'lucidrains', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855437
1.0,PRODUCT,"{'name': 'GitHub', 'url': 'https://github.com/Bessouat40/RAGLight'}","{'startupName': 'Bessouat40', 'pricingModel': 'UNKNOWN'}",2026-07-20T09:33:35.855440
